ID,Rating,Review Date,Location,Username,Member,RAND,Gender,Review,Fit Feedback,Comfort Feedback,Recommend Feedback,Title,IsPromoReview,Subtitle,ColorDescription,FullPrice,Discounted,EmployeePrice,CurrentPrice,IsLaunch,Pid,IS_BEST_SELLER,IS_IN_STOCK
0,5,8-Sep-23,"OR, US",Manny214Fresh,Yes,0.516152033,Female,"Jordan Low 1 The delivery was on time as scheduled. The fit is true to size. Product quality is amazing!! Overall a perfect score of 10!! Manny214Fresh Sep 8, 2023 Location US Size you normally wear 9.5 0 0 Flag",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
1,5,8-Sep-23,"OR, US",Manny214Fresh,Yes,0.714946007,Prefer not to say,"Jordan Low 1 The delivery was on time as scheduled. The fit is true to size. Product quality is amazing!! Overall a perfect score of 10!! Manny214Fresh Sep 8, 2023 Location US Size you normally wear 9.5 0 0 Flag",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
2,5,8-Sep-23,"OR, US",Manny214Fresh,Yes,0.322747474,Female,"Jordan Low 1 The delivery was on time as scheduled. The fit is true to size. Product quality is amazing!! Overall a perfect score of 10!! Manny214Fresh Sep 8, 2023 Location US Size you normally wear 9.5 0 0 Flag",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
3,5,8-Sep-23,"OR, US",Manny214Fresh,Yes,0.987844481,Male,"Jordan Low 1 The delivery was on time as scheduled. The fit is true to size. Product quality is amazing!! Overall a perfect score of 10!! Manny214Fresh Sep 8, 2023 Location US Size you normally wear 9.5 0 0 Flag",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
4,4,7-Sep-23,"OR, US",ChardyC719344446,Yes,0.677670829,Female,"Runs BIG Beautiful shoes, but runs BIG. I’m usually a 8.5M so I ordered a 10W and it was too big. I would definitely order half a size down next time!",Runs Big,Average,Yes,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
5,4,7-Sep-23,"OR, US",ChardyC719344446,Yes,0.159348926,Female,"Runs BIG Beautiful shoes, but runs BIG. I’m usually a 8.5M so I ordered a 10W and it was too big. I would definitely order half a size down next time!",Runs Big,Average,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
6,4,7-Sep-23,"OR, US",ChardyC719344446,Yes,0.507086069,Female,"Runs BIG Beautiful shoes, but runs BIG. I’m usually a 8.5M so I ordered a 10W and it was too big. I would definitely order half a size down next time!",Runs Big,Average,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
7,4,7-Sep-23,"OR, US",ChardyC719344446,Yes,0.798137715,Female,"Runs BIG Beautiful shoes, but runs BIG. I’m usually a 8.5M so I ordered a 10W and it was too big. I would definitely order half a size down next time!",Runs Big,Average,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
8,5,30-Aug-23,"OR, US",valeriam799341841,Yes,0.335109257,Female,"I Love the shoes, I definitely recommend.",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
9,5,30-Aug-23,"OR, US",valeriam799341841,Yes,0.972679835,Male,"I Love the shoes, I definitely recommend.",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
10,5,30-Aug-23,"OR, US",valeriam799341841,Yes,0.245716099,Male,"I Love the shoes, I definitely recommend.",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
11,5,30-Aug-23,"OR, US",valeriam799341841,Yes,0.551013101,Female,"I Love the shoes, I definitely recommend.",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
12,5,20-Aug-23,"OR, US",JoshlynO437123264,Yes,0.220471432,Male,Love My Low Dunks My 1st Pair Of Low Dunks And I Love Them 😍 Black And Red Are Two Of My Favorite Colors.,True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
13,5,20-Aug-23,"OR, US",JoshlynO437123264,Yes,0.635941459,Male,Love My Low Dunks My 1st Pair Of Low Dunks And I Love Them 😍 Black And Red Are Two Of My Favorite Colors.,True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
14,5,20-Aug-23,"OR, US",JoshlynO437123264,Yes,0.349525753,Male,Love My Low Dunks My 1st Pair Of Low Dunks And I Love Them 😍 Black And Red Are Two Of My Favorite Colors.,True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
15,5,20-Aug-23,"OR, US",JoshlynO437123264,Yes,0.665389419,Male,Love My Low Dunks My 1st Pair Of Low Dunks And I Love Them 😍 Black And Red Are Two Of My Favorite Colors.,True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
16,5,14-Aug-23,"OR, US",crystals616033413,Yes,0.693219384,Female,"Jordan low shoes These shoes met all of our expectations! Bright, fun with that classic Jordan look. My daughter is a college softball coach and these shoes were purchased for her, matching the school colors 💙❤️ we are obsessed !!",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
17,5,14-Aug-23,"OR, US",crystals616033413,Yes,0.559492948,Female,"Jordan low shoes These shoes met all of our expectations! Bright, fun with that classic Jordan look. My daughter is a college softball coach and these shoes were purchased for her, matching the school colors 💙❤️ we are obsessed !!",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
18,5,14-Aug-23,"OR, US",crystals616033413,Yes,0.167167517,Female,"Jordan low shoes These shoes met all of our expectations! Bright, fun with that classic Jordan look. My daughter is a college softball coach and these shoes were purchased for her, matching the school colors 💙❤️ we are obsessed !!",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
19,5,14-Aug-23,"OR, US",crystals616033413,Yes,0.633842378,Female,"Jordan low shoes These shoes met all of our expectations! Bright, fun with that classic Jordan look. My daughter is a college softball coach and these shoes were purchased for her, matching the school colors 💙❤️ we are obsessed !!",True to Size,Very Comfortable,Yes,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
20,5,13-Aug-23,"TX, US",Shequilla31,Yes,0.565345084,Prefer not to say,"Fire AJ1 lows
These my friend are impeccable!!! Buttery leather, fire colorway, fast shipping and great fit!!! These AJ1 lows were right on time for the upcoming fall season although they can be worn for any season, any reason as they fit any swag!!!
Shequilla31
Aug 13, 2023
Location
Porter, TX
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
21,5,13-Aug-23,"TX, US",Shequilla31,Yes,0.577072881,Prefer not to say,"Fire AJ1 lows
These my friend are impeccable!!! Buttery leather, fire colorway, fast shipping and great fit!!! These AJ1 lows were right on time for the upcoming fall season although they can be worn for any season, any reason as they fit any swag!!!
Shequilla31
Aug 13, 2023
Location
Porter, TX
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
22,5,13-Aug-23,"TX, US",Shequilla31,Yes,0.796063565,Male,"Fire AJ1 lows
These my friend are impeccable!!! Buttery leather, fire colorway, fast shipping and great fit!!! These AJ1 lows were right on time for the upcoming fall season although they can be worn for any season, any reason as they fit any swag!!!
Shequilla31
Aug 13, 2023
Location
Porter, TX
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
23,5,13-Aug-23,"TX, US",Shequilla31,Yes,0.319379493,Female,"Fire AJ1 lows
These my friend are impeccable!!! Buttery leather, fire colorway, fast shipping and great fit!!! These AJ1 lows were right on time for the upcoming fall season although they can be worn for any season, any reason as they fit any swag!!!
Shequilla31
Aug 13, 2023
Location
Porter, TX
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
24,5,10-Aug-23,"AL, US",jasw,Yes,0.268809806,Prefer not to say,"Back 2 School
Back to school shoes for my middle child. Perfect for a bit of flavor to school uniforms.
jasw
Aug 10, 2023
Location
Mobile, AL
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
25,5,10-Aug-23,"AL, US",jasw,Yes,0.245597721,Prefer not to say,"Back 2 School
Back to school shoes for my middle child. Perfect for a bit of flavor to school uniforms.
jasw
Aug 10, 2023
Location
Mobile, AL
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Men's Shoes,Palomino/White/Wild Berry,110,TRUE,49.78,82.97,FALSE,1003842468,NOT_BEST_SELLER,IN_STOCK
26,5,10-Aug-23,"AL, US",jasw,Yes,0.956158924,Prefer not to say,"Back 2 School
Back to school shoes for my middle child. Perfect for a bit of flavor to school uniforms.
jasw
Aug 10, 2023
Location
Mobile, AL
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Men's Shoes,Sky J Purple/White/Sky J Light Purple,110,FALSE,66,110,FALSE,1012365345,NOT_BEST_SELLER,IN_STOCK
27,5,10-Aug-23,"AL, US",jasw,Yes,0.744453656,Prefer not to say,"Back 2 School
Back to school shoes for my middle child. Perfect for a bit of flavor to school uniforms.
jasw
Aug 10, 2023
Location
Mobile, AL
Originally posted at Hibbett Sports
0
0
Flag",,,,Air Jordan 1 Low,FALSE,Men's Shoes,Black/University Blue/White/Black,110,FALSE,66,110,FALSE,1012365344,NOT_BEST_SELLER,IN_STOCK
28,5,10-Aug-23,"ME, US",Racharoni,Yes,0.484657521,Male,"Best shoes
 I love these shoes the color way and think they are better than dunks. Super clean and stylish
Product received for free, or reviewed as part of a sweepstakes/promotion.
#teamnike
Racharoni
Aug 10, 2023
Originally posted at DICK'S Sporting Goods
0
0
Flag",,,,Air Jordan 1 Low,TRUE,Women's Shoes,Lucky Green/White/Aquatone,110,TRUE,53.38,88.97,FALSE,1010048667,NOT_BEST_SELLER,IN_STOCK
